id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1379887294933467139,1379887294933467139,2021-04-07 16:02:22 EDT,2021-04-07,16:02:22,-0500,44196397,elonmusk,Elon Musk,,"To be clear, I do support vaccines in general &amp; covid vaccines specifically. The science is unequivocal.   In very rare cases, there is an allergic reaction, but this is easily addressed with an EpiPen.",en,[],[],[],11011,14090,192402,#test,[],https://twitter.com/elonmusk/status/1379887294933467139,False,,0,,,,,,,,[],,,,
1347977322364694528,1347973060943609856,2021-01-09 13:43:32 EST,2021-01-09,13:43:32,-0500,44196397,elonmusk,Elon Musk,,"@Erdayastronaut @SpaceX I super support public spaces around our production &amp; launch sites, wherever it can be done safely and securely. When covid passes, we will open up our restaurant to the public &amp; figure out ways to allow limited access to the High Bar.",en,[],[],[],273,402,9451,[],[],https://twitter.com/elonmusk/status/1347977322364694528,False,,0,,,,,,,,"[{'screen_name': 'Erdayastronaut', 'name': 'Everyday Astronaut', 'id': '3167257102'}, {'screen_name': 'SpaceX', 'name': 'SpaceX', 'id': '34743251'}]",,,,
1480972449281888260,1480934025145499649,2022-01-11 13:38:41 EST,2022-01-11,13:38:41,-0500,44196397,elonmusk,Elon Musk,,@ID_AA_Carmack 🤣,und,[],[],[],455,100,2007,[],[],https://twitter.com/elonmusk/status/1480972449281888260,False,,0,,,,,,,,"[{'screen_name': 'ID_AA_Carmack', 'name': 'John Carmack', 'id': '175624200'}]",,,,
